Departure Station,Arrival Destination,Railcard,Ticket Type,Lead Time,Price,Ticket Class
london st pancras,birmingham new street,no railcard,off-peak,0 days,12,standard
liverpool lime street,london euston,no railcard,advance,1 days,76,standard
london euston,manchester piccadilly,disabled,advance,1 days,48,standard
liverpool lime street,london euston,no railcard,advance,1 days,76,standard
manchester piccadilly,liverpool lime street,no railcard,off-peak,0 days,4,standard
liverpool lime street,london euston,no railcard,advance,1 days,76,standard
liverpool lime street,london euston,no railcard,advance,1 days,76,standard
london euston,manchester piccadilly,disabled,advance,1 days,48,standard
liverpool lime street,london euston,no railcard,advance,1 days,76,standard
manchester piccadilly,liverpool lime street,no railcard,off-peak,0 days,4,standard
liverpool lime street,london euston,no railcard,advance,1 days,118,first class
manchester piccadilly,york,adult,off-peak,0 days,15,standard
london euston,manchester piccadilly,disabled,advance,1 days,48,standard
london euston,manchester piccadilly,no railcard,advance,1 days,72,standard
london euston,birmingham new street,no railcard,off-peak,0 days,10,standard
london paddington,reading,no railcard,advance,1 days,13,standard
london euston,birmingham new street,no railcard,off-peak,0 days,10,standard
manchester piccadilly,leeds,adult,advance,1 days,6,standard
london paddington,reading,no railcard,advance,1 days,13,standard
london st pancras,birmingham new street,no railcard,off-peak,0 days,12,standard
liverpool lime street,manchester piccadilly,adult,off-peak,0 days,3,standard
london paddington,reading,no railcard,advance,1 days,13,standard
liverpool lime street,manchester piccadilly,no railcard,off-peak,0 days,5,standard
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,3,standard
london paddington,reading,disabled,off-peak,0 days,27,first class
london paddington,reading,disabled,off-peak,0 days,13,standard
liverpool lime street,manchester piccadilly,adult,off-peak,0 days,3,standard
london st pancras,birmingham new street,no railcard,advance,1 days,8,standard
manchester piccadilly,liverpool lime street,senior,off-peak,0 days,3,standard
liverpool lime street,london st pancras,no railcard,advance,1 days,119,first class
london kings cross,york,no railcard,off-peak,0 days,53,standard
london paddington,reading,no railcard,off-peak,0 days,19,standard
london st pancras,birmingham new street,no railcard,advance,1 days,8,standard
london paddington,reading,no railcard,off-peak,0 days,19,standard
london st pancras,birmingham new street,adult,off-peak,0 days,54,first class
london kings cross,york,no railcard,advance,1 days,35,standard
london paddington,reading,no railcard,off-peak,0 days,19,standard
york,edinburgh,no railcard,off-peak,0 days,35,standard
manchester piccadilly,liverpool lime street,senior,off-peak,0 days,3,standard
london paddington,reading,disabled,advance,1 days,18,first class
london kings cross,york,no railcard,off-peak,0 days,53,standard
london paddington,reading,no railcard,off-peak,0 days,19,standard
london st pancras,birmingham new street,no railcard,advance,1 days,8,standard
london kings cross,york,no railcard,advance,1 days,35,standard
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,3,standard
london euston,birmingham new street,disabled,off-peak,0 days,7,standard
london paddington,reading,no railcard,off-peak,0 days,19,standard
london st pancras,birmingham new street,adult,off-peak,0 days,8,standard
london kings cross,york,no railcard,off-peak,0 days,53,standard
london kings cross,york,no railcard,anytime,0 days,114,first class
london euston,birmingham new street,disabled,anytime,0 days,9,standard
london paddington,reading,adult,anytime,0 days,17,standard
london euston,birmingham new street,no railcard,advance,1 days,7,standard
london st pancras,leicester,adult,anytime,0 days,31,standard
london euston,birmingham new street,no railcard,anytime,0 days,13,standard
birmingham new street,manchester piccadilly,adult,anytime,0 days,15,standard
london kings cross,york,no railcard,anytime,0 days,70,standard
edinburgh waverley,london kings cross,no railcard,off-peak,0 days,43,standard
london paddington,reading,no railcard,advance,1 days,13,standard
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,3,standard
manchester piccadilly,london euston,no railcard,off-peak,0 days,200,first class
manchester piccadilly,liverpool lime street,no railcard,anytime,0 days,5,standard
london euston,birmingham new street,no railcard,advance,1 days,7,standard
london paddington,reading,no railcard,advance,1 days,13,standard
london st pancras,birmingham new street,no railcard,advance,1 days,8,standard
london euston,birmingham new street,no railcard,advance,1 days,7,standard
manchester piccadilly,liverpool lime street,no railcard,anytime,0 days,5,standard
liverpool lime street,manchester piccadilly,adult,anytime,0 days,4,standard
london paddington,reading,adult,advance,1 days,8,standard
london euston,birmingham new street,adult,anytime,0 days,9,standard
manchester piccadilly,liverpool lime street,no railcard,anytime,0 days,5,standard
london euston,birmingham new street,adult,anytime,0 days,9,standard
manchester piccadilly,liverpool lime street,senior,advance,1 days,2,standard
london paddington,reading,no railcard,advance,1 days,13,standard
london st pancras,birmingham new street,no railcard,advance,1 days,8,standard
reading,london paddington,no railcard,advance,1 days,13,standard
reading,london paddington,no railcard,advance,1 days,13,standard
london st pancras,birmingham new street,no railcard,anytime,0 days,16,standard
london st pancras,birmingham new street,no railcard,anytime,0 days,16,standard
london euston,birmingham new street,disabled,advance,1 days,4,standard
london kings cross,york,no railcard,advance,1 days,35,standard
birmingham new street,nuneaton,no railcard,anytime,0 days,13,standard
reading,didcot,senior,anytime,0 days,13,first class
london st pancras,birmingham new street,no railcard,anytime,0 days,16,standard
london paddington,reading,no railcard,anytime,0 days,54,first class
london euston,birmingham new street,disabled,advance,1 days,4,standard
london euston,birmingham new street,adult,advance,1 days,35,first class
london kings cross,york,adult,advance,1 days,38,first class
london kings cross,york,no railcard,advance,1 days,35,standard
london paddington,reading,adult,advance,1 days,8,standard
london kings cross,york,no railcard,advance,1 days,35,standard
london kings cross,liverpool lime street,no railcard,advance,1 days,65,standard
liverpool lime street,leeds,adult,advance,1 days,13,first class
liverpool lime street,sheffield,adult,advance,1 days,9,first class
london euston,birmingham new street,no railcard,advance,1 days,7,standard
liverpool lime street,london euston,adult,advance,1 days,50,standard
london st pancras,leicester,senior,anytime,0 days,31,standard
manchester piccadilly,liverpool lime street,senior,anytime,0 days,3,standard
london st pancras,leicester,senior,anytime,0 days,31,standard
liverpool lime street,london euston,adult,advance,1 days,50,standard
london paddington,reading,no railcard,off-peak,0 days,19,standard
london paddington,reading,no railcard,off-peak,0 days,19,standard
london kings cross,york,no railcard,off-peak,0 days,53,standard
london kings cross,york,no railcard,advance,1 days,35,standard
london kings cross,liverpool lime street,adult,off-peak,0 days,65,standard
manchester piccadilly,liverpool lime street,no railcard,off-peak,0 days,4,standard
birmingham new street,edinburgh,no railcard,off-peak,0 days,111,first class
manchester piccadilly,liverpool lime street,no railcard,off-peak,0 days,4,standard
london paddington,reading,adult,off-peak,0 days,13,standard
liverpool lime street,manchester piccadilly,senior,advance,1 days,7,first class
liverpool lime street,manchester piccadilly,no railcard,advance,1 days,3,standard
london st pancras,birmingham new street,no railcard,advance,1 days,54,first class
london st pancras,leicester,senior,advance,1 days,16,standard
london st pancras,birmingham new street,disabled,advance,1 days,5,standard
manchester piccadilly,liverpool lime street,senior,advance,1 days,2,standard
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,3,standard
london euston,birmingham new street,adult,advance,1 days,4,standard
london euston,birmingham new street,no railcard,off-peak,0 days,10,standard
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,3,standard
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,3,standard
london st pancras,birmingham new street,no railcard,advance,1 days,8,standard
london kings cross,york,disabled,advance,1 days,38,first class
london euston,birmingham new street,no railcard,off-peak,0 days,10,standard
liverpool lime street,manchester piccadilly,adult,advance,1 days,2,standard
london paddington,reading,no railcard,off-peak,0 days,19,standard
london paddington,reading,no railcard,off-peak,0 days,19,standard
liverpool lime street,manchester piccadilly,adult,off-peak,0 days,3,standard
liverpool lime street,manchester piccadilly,adult,off-peak,0 days,3,standard
york,peterborough,no railcard,advance,1 days,34,standard
london paddington,reading,senior,advance,1 days,18,first class
london st pancras,birmingham new street,no railcard,advance,1 days,8,standard
london st pancras,birmingham new street,no railcard,advance,1 days,8,standard
birmingham new street,nuneaton,no railcard,advance,1 days,7,standard
london st pancras,birmingham new street,no railcard,advance,1 days,8,standard
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,3,standard
london kings cross,york,no railcard,advance,1 days,35,standard
london st pancras,birmingham new street,adult,advance,1 days,5,standard
london euston,manchester piccadilly,no railcard,advance,1 days,72,standard
birmingham new street,stafford,no railcard,advance,1 days,5,standard
london paddington,reading,no railcard,off-peak,0 days,19,standard
london euston,birmingham new street,no railcard,advance,1 days,52,first class
london st pancras,birmingham new street,no railcard,advance,1 days,8,standard
london paddington,reading,no railcard,advance,1 days,13,standard
london paddington,reading,adult,advance,1 days,8,standard
london paddington,reading,adult,advance,1 days,8,standard
liverpool lime street,manchester piccadilly,no railcard,advance,1 days,3,standard
liverpool lime street,manchester piccadilly,adult,advance,1 days,2,standard
london paddington,reading,no railcard,advance,1 days,13,standard
manchester piccadilly,liverpool lime street,adult,advance,1 days,2,standard
manchester piccadilly,liverpool lime street,adult,advance,1 days,2,standard
manchester piccadilly,london euston,no railcard,advance,1 days,84,standard
