Lead Time,Departure Station,Arrival Destination,Day of Week
0 days,birmingham new street,london euston,Thursday
1 days,liverpool lime street,manchester piccadilly,Friday
1 days,liverpool lime street,manchester piccadilly,Friday
0 days,london paddington,reading,Thursday
0 days,manchester piccadilly,liverpool lime street,Thursday
1 days,liverpool lime street,manchester piccadilly,Friday
1 days,london kings cross,york,Friday
0 days,london kings cross,york,Thursday
0 days,manchester piccadilly,sheffield,Thursday
0 days,london euston,birmingham new street,Thursday
0 days,london euston,birmingham new street,Thursday
0 days,london kings cross,york,Thursday
0 days,london euston,birmingham new street,Thursday
0 days,liverpool lime street,manchester piccadilly,Thursday
0 days,london paddington,reading,Thursday
0 days,london st pancras,birmingham new street,Thursday
1 days,manchester piccadilly,london paddington,Friday
1 days,london kings cross,york,Friday
0 days,manchester piccadilly,liverpool lime street,Thursday
0 days,liverpool lime street,london euston,Thursday
0 days,london kings cross,york,Thursday
0 days,liverpool lime street,manchester piccadilly,Thursday
1 days,liverpool lime street,manchester piccadilly,Friday
1 days,liverpool lime street,manchester piccadilly,Friday
0 days,london kings cross,liverpool lime street,Thursday
0 days,london st pancras,birmingham new street,Thursday
0 days,liverpool lime street,manchester piccadilly,Thursday
1 days,london kings cross,york,Friday
0 days,london paddington,reading,Thursday
0 days,london paddington,reading,Thursday
0 days,birmingham new street,london paddington,Thursday
0 days,birmingham new street,london st pancras,Thursday
0 days,york,doncaster,Thursday
0 days,birmingham new street,london st pancras,Thursday
0 days,london euston,manchester piccadilly,Thursday
1 days,london kings cross,york,Friday
1 days,liverpool lime street,manchester piccadilly,Friday
0 days,london kings cross,york,Thursday
1 days,london euston,birmingham new street,Friday
0 days,london st pancras,birmingham new street,Thursday
1 days,london kings cross,york,Friday
0 days,liverpool lime street,manchester piccadilly,Thursday
0 days,liverpool lime street,manchester piccadilly,Thursday
0 days,london st pancras,birmingham new street,Thursday
1 days,manchester piccadilly,liverpool lime street,Friday
1 days,london euston,birmingham new street,Friday
1 days,london paddington,reading,Friday
1 days,london euston,birmingham new street,Friday
0 days,manchester piccadilly,liverpool lime street,Thursday
0 days,london paddington,reading,Thursday
0 days,london paddington,london waterloo,Thursday
0 days,liverpool lime street,crewe,Thursday
0 days,london kings cross,york,Thursday
0 days,york,peterborough,Thursday
1 days,london st pancras,birmingham new street,Friday
0 days,london kings cross,york,Thursday
0 days,reading,swindon,Thursday
0 days,london st pancras,birmingham new street,Thursday
0 days,manchester piccadilly,liverpool lime street,Thursday
0 days,liverpool lime street,london euston,Thursday
0 days,london euston,manchester piccadilly,Thursday
0 days,manchester piccadilly,london euston,Thursday
0 days,liverpool lime street,london euston,Thursday
0 days,liverpool lime street,manchester piccadilly,Thursday
0 days,london euston,birmingham new street,Thursday
0 days,birmingham new street,liverpool lime street,Thursday
1 days,london paddington,reading,Friday
0 days,london euston,birmingham new street,Thursday
0 days,london paddington,oxford,Thursday
1 days,liverpool lime street,manchester piccadilly,Friday
0 days,london paddington,reading,Thursday
0 days,london euston,birmingham new street,Thursday
0 days,london paddington,reading,Thursday
0 days,manchester piccadilly,leeds,Thursday
0 days,london paddington,reading,Thursday
1 days,london paddington,reading,Friday
0 days,london kings cross,liverpool lime street,Thursday
1 days,liverpool lime street,crewe,Friday
0 days,london kings cross,york,Thursday
1 days,london euston,manchester piccadilly,Friday
1 days,york,doncaster,Friday
1 days,york,doncaster,Friday
1 days,london euston,birmingham new street,Friday
1 days,manchester piccadilly,liverpool lime street,Friday
1 days,birmingham new street,london st pancras,Friday
1 days,york,doncaster,Friday
1 days,york,doncaster,Friday
1 days,london st pancras,birmingham new street,Friday
1 days,liverpool lime street,manchester piccadilly,Friday
1 days,manchester piccadilly,liverpool lime street,Friday
1 days,london paddington,reading,Friday
1 days,london paddington,oxford,Friday
1 days,liverpool lime street,manchester piccadilly,Friday
1 days,london paddington,oxford,Friday
0 days,london kings cross,york,Thursday
1 days,london paddington,reading,Friday
0 days,london kings cross,york,Thursday
1 days,london paddington,reading,Friday
1 days,london paddington,oxford,Friday
1 days,london paddington,oxford,Friday
1 days,london paddington,reading,Friday
1 days,york,peterborough,Friday
1 days,liverpool lime street,manchester piccadilly,Friday
0 days,liverpool lime street,manchester piccadilly,Thursday
1 days,london kings cross,york,Friday
0 days,manchester piccadilly,liverpool lime street,Thursday
0 days,london st pancras,birmingham new street,Thursday
0 days,london euston,birmingham new street,Thursday
0 days,manchester piccadilly,liverpool lime street,Thursday
0 days,london euston,birmingham new street,Thursday
0 days,manchester piccadilly,liverpool lime street,Thursday
1 days,liverpool lime street,london euston,Friday
1 days,london paddington,reading,Friday
1 days,london euston,birmingham new street,Friday
0 days,liverpool lime street,manchester piccadilly,Thursday
1 days,manchester piccadilly,liverpool lime street,Friday
0 days,london kings cross,york,Thursday
1 days,london kings cross,york,Friday
1 days,manchester piccadilly,london euston,Friday
1 days,london paddington,reading,Friday
1 days,manchester piccadilly,liverpool lime street,Friday
1 days,manchester piccadilly,liverpool lime street,Friday
1 days,manchester piccadilly,london euston,Friday
1 days,manchester piccadilly,leeds,Friday
1 days,london st pancras,birmingham new street,Friday
1 days,london paddington,reading,Friday
1 days,manchester piccadilly,liverpool lime street,Friday
1 days,manchester piccadilly,leeds,Friday
0 days,liverpool lime street,manchester piccadilly,Thursday
1 days,liverpool lime street,manchester piccadilly,Friday
1 days,manchester piccadilly,liverpool lime street,Friday
1 days,liverpool lime street,manchester piccadilly,Friday
0 days,london paddington,reading,Thursday
0 days,london paddington,reading,Thursday
0 days,london euston,birmingham new street,Thursday
0 days,london euston,birmingham new street,Thursday
1 days,birmingham new street,manchester piccadilly,Friday
1 days,birmingham new street,manchester piccadilly,Friday
1 days,birmingham new street,manchester piccadilly,Friday
0 days,london st pancras,birmingham new street,Thursday
1 days,liverpool lime street,manchester piccadilly,Friday
1 days,london euston,birmingham new street,Friday
1 days,liverpool lime street,manchester piccadilly,Friday
1 days,manchester piccadilly,sheffield,Friday
0 days,liverpool lime street,manchester piccadilly,Thursday
0 days,london st pancras,birmingham new street,Thursday
0 days,manchester piccadilly,liverpool lime street,Thursday
1 days,london kings cross,york,Friday
1 days,london st pancras,birmingham new street,Friday
0 days,london paddington,reading,Thursday
0 days,london euston,birmingham new street,Thursday
0 days,reading,london paddington,Thursday
0 days,london euston,birmingham new street,Thursday
0 days,london euston,birmingham new street,Thursday
0 days,london euston,birmingham new street,Thursday
0 days,london euston,birmingham new street,Thursday
0 days,london st pancras,birmingham new street,Thursday
0 days,london euston,birmingham new street,Thursday
0 days,manchester piccadilly,liverpool lime street,Thursday
0 days,london paddington,reading,Thursday
0 days,london euston,birmingham new street,Thursday
1 days,liverpool lime street,manchester piccadilly,Friday
0 days,manchester piccadilly,liverpool lime street,Thursday
1 days,london st pancras,birmingham new street,Friday
1 days,london st pancras,birmingham new street,Friday
0 days,liverpool lime street,sheffield,Thursday
0 days,edinburgh waverley,london kings cross,Thursday
0 days,manchester piccadilly,liverpool lime street,Thursday
0 days,london kings cross,york,Thursday
1 days,liverpool lime street,sheffield,Friday
1 days,london st pancras,birmingham new street,Friday
1 days,london st pancras,birmingham new street,Friday
1 days,london euston,birmingham new street,Friday
1 days,london euston,birmingham new street,Friday
0 days,liverpool lime street,manchester piccadilly,Thursday
0 days,manchester piccadilly,liverpool lime street,Thursday
0 days,manchester piccadilly,liverpool lime street,Thursday
0 days,manchester piccadilly,liverpool lime street,Thursday
0 days,manchester piccadilly,liverpool lime street,Thursday
0 days,manchester piccadilly,liverpool lime street,Thursday
0 days,birmingham new street,tamworth,Thursday
0 days,manchester piccadilly,liverpool lime street,Thursday
0 days,liverpool lime street,manchester piccadilly,Thursday
0 days,reading,swindon,Thursday
0 days,london euston,birmingham new street,Thursday
0 days,london euston,birmingham new street,Thursday
0 days,birmingham new street,york,Thursday
0 days,liverpool lime street,london euston,Thursday
0 days,liverpool lime street,london euston,Thursday
1 days,reading,london paddington,Friday
0 days,liverpool lime street,manchester piccadilly,Thursday
1 days,london paddington,reading,Friday
0 days,liverpool lime street,london euston,Thursday
0 days,manchester piccadilly,liverpool lime street,Thursday
0 days,london st pancras,birmingham new street,Thursday
0 days,liverpool lime street,crewe,Thursday
0 days,london euston,manchester piccadilly,Thursday
1 days,manchester piccadilly,liverpool lime street,Friday
0 days,london st pancras,birmingham new street,Thursday
0 days,liverpool lime street,crewe,Thursday
0 days,london st pancras,birmingham new street,Thursday
1 days,london euston,birmingham new street,Friday
1 days,manchester piccadilly,liverpool lime street,Friday
1 days,london euston,birmingham new street,Friday
1 days,london kings cross,york,Friday
1 days,london st pancras,leicester,Friday
1 days,liverpool lime street,manchester piccadilly,Friday
1 days,manchester piccadilly,london euston,Friday
1 days,liverpool lime street,sheffield,Friday
0 days,london st pancras,leicester,Thursday
1 days,manchester piccadilly,liverpool lime street,Friday
0 days,london st pancras,birmingham new street,Thursday
0 days,london paddington,reading,Thursday
1 days,london kings cross,york,Friday
1 days,london st pancras,birmingham new street,Friday
1 days,london kings cross,york,Friday
1 days,reading,london paddington,Friday
0 days,liverpool lime street,manchester piccadilly,Thursday
1 days,london euston,birmingham new street,Friday
0 days,manchester piccadilly,liverpool lime street,Thursday
0 days,london euston,birmingham new street,Thursday
0 days,london euston,birmingham new street,Thursday
1 days,london euston,birmingham new street,Friday
1 days,manchester piccadilly,liverpool lime street,Friday
1 days,liverpool lime street,manchester piccadilly,Friday
1 days,birmingham new street,york,Friday
0 days,london paddington,reading,Thursday
1 days,birmingham new street,liverpool lime street,Friday
1 days,reading,birmingham new street,Friday
0 days,birmingham new street,liverpool lime street,Thursday
1 days,birmingham new street,nuneaton,Friday
1 days,london st pancras,birmingham new street,Friday
1 days,london st pancras,birmingham new street,Friday
1 days,london st pancras,birmingham new street,Friday
1 days,manchester piccadilly,liverpool lime street,Friday
1 days,birmingham new street,tamworth,Friday
1 days,birmingham new street,stafford,Friday
0 days,london paddington,reading,Thursday
0 days,liverpool lime street,manchester piccadilly,Thursday
0 days,liverpool lime street,leeds,Thursday
1 days,london st pancras,birmingham new street,Friday
1 days,manchester piccadilly,liverpool lime street,Friday
0 days,london euston,birmingham new street,Thursday
1 days,london euston,birmingham new street,Friday
1 days,london st pancras,birmingham new street,Friday
1 days,manchester piccadilly,liverpool lime street,Friday
1 days,liverpool lime street,manchester piccadilly,Friday
1 days,manchester piccadilly,liverpool lime street,Friday
1 days,manchester piccadilly,liverpool lime street,Friday
1 days,manchester piccadilly,liverpool lime street,Friday
