Date of Journey,Route,Demand
2024-01-21,birmingham new street-liverpool lime street,1
2024-01-21,birmingham new street-london euston,2
2024-01-21,birmingham new street-london paddington,1
2024-01-21,birmingham new street-london st pancras,4
2024-01-21,birmingham new street-nuneaton,3
2024-01-21,birmingham new street-stafford,3
2024-01-21,birmingham new street-tamworth,5
2024-01-21,birmingham new street-wolverhampton,1
2024-01-21,edinburgh waverley-london kings cross,1
2024-01-21,liverpool lime street-crewe,1
2024-01-21,liverpool lime street-london euston,14
2024-01-21,liverpool lime street-manchester piccadilly,22
2024-01-21,london euston-birmingham new street,37
2024-01-21,london euston-manchester piccadilly,4
2024-01-21,london kings cross-edinburgh waverley,1
2024-01-21,london kings cross-york,25
2024-01-21,london paddington-london waterloo,2
2024-01-21,london paddington-oxford,2
2024-01-21,london paddington-reading,21
2024-01-21,london st pancras-birmingham new street,34
2024-01-21,london st pancras-leicester,2
2024-01-21,manchester piccadilly-leeds,1
2024-01-21,manchester piccadilly-liverpool lime street,43
2024-01-21,manchester piccadilly-london euston,5
2024-01-21,manchester piccadilly-nottingham,2
2024-01-21,manchester piccadilly-sheffield,1
2024-01-21,manchester piccadilly-york,1
2024-01-21,oxford-bristol temple meads,1
2024-01-21,reading-birmingham new street,1
2024-01-21,reading-london paddington,1
2024-01-21,reading-swindon,2
2024-01-21,york-doncaster,1
2024-01-21,york-durham,1
2024-01-21,york-edinburgh,1
2024-01-21,york-peterborough,1
2024-01-22,birmingham new street-liverpool lime street,1
2024-01-22,birmingham new street-london euston,2
2024-01-22,birmingham new street-london paddington,1
2024-01-22,birmingham new street-london st pancras,4
2024-01-22,birmingham new street-manchester piccadilly,1
2024-01-22,birmingham new street-nuneaton,1
2024-01-22,birmingham new street-tamworth,6
2024-01-22,birmingham new street-york,2
2024-01-22,edinburgh waverley-london kings cross,1
2024-01-22,liverpool lime street-crewe,3
2024-01-22,liverpool lime street-london euston,15
2024-01-22,liverpool lime street-manchester piccadilly,23
2024-01-22,london euston-birmingham new street,22
2024-01-22,london euston-manchester piccadilly,8
2024-01-22,london kings cross-liverpool lime street,3
2024-01-22,london kings cross-york,38
2024-01-22,london paddington-oxford,4
2024-01-22,london paddington-reading,43
2024-01-22,london st pancras-birmingham new street,36
2024-01-22,london st pancras-leicester,2
2024-01-22,manchester piccadilly-liverpool lime street,39
2024-01-22,manchester piccadilly-london euston,3
2024-01-22,manchester piccadilly-london paddington,1
2024-01-22,manchester piccadilly-nottingham,1
2024-01-22,manchester piccadilly-sheffield,2
2024-01-22,reading-didcot,1
2024-01-22,reading-london paddington,1
2024-01-22,reading-oxford,2
2024-01-22,reading-swindon,5
2024-01-22,york-durham,1
2024-01-22,york-edinburgh,2
2024-01-22,york-peterborough,1
2024-01-23,birmingham new street-coventry,1
2024-01-23,birmingham new street-london euston,2
2024-01-23,birmingham new street-london st pancras,3
2024-01-23,birmingham new street-manchester piccadilly,3
2024-01-23,birmingham new street-nuneaton,2
2024-01-23,birmingham new street-stafford,2
2024-01-23,birmingham new street-tamworth,3
2024-01-23,birmingham new street-york,1
2024-01-23,liverpool lime street-crewe,2
2024-01-23,liverpool lime street-leeds,1
2024-01-23,liverpool lime street-london euston,6
2024-01-23,liverpool lime street-manchester piccadilly,21
2024-01-23,liverpool lime street-sheffield,1
2024-01-23,london euston-birmingham new street,42
2024-01-23,london euston-manchester piccadilly,3
2024-01-23,london euston-oxford,1
2024-01-23,london kings cross-york,37
2024-01-23,london paddington-oxford,4
2024-01-23,london paddington-reading,33
2024-01-23,london st pancras-birmingham new street,34
2024-01-23,london st pancras-leicester,4
2024-01-23,manchester piccadilly-leeds,1
2024-01-23,manchester piccadilly-liverpool lime street,41
2024-01-23,manchester piccadilly-london euston,5
2024-01-23,manchester piccadilly-london paddington,2
2024-01-23,manchester piccadilly-sheffield,1
2024-01-23,oxford-bristol temple meads,2
2024-01-23,reading-liverpool lime street,1
2024-01-23,reading-london paddington,1
2024-01-23,reading-oxford,1
2024-01-23,reading-swindon,5
2024-01-23,york-doncaster,1
2024-01-23,york-edinburgh,1
2024-01-23,york-peterborough,1
2024-01-24,birmingham new street-coventry,1
2024-01-24,birmingham new street-liverpool lime street,1
2024-01-24,birmingham new street-london euston,1
2024-01-24,birmingham new street-london st pancras,5
2024-01-24,birmingham new street-manchester piccadilly,1
2024-01-24,birmingham new street-nuneaton,1
2024-01-24,birmingham new street-stafford,1
2024-01-24,birmingham new street-tamworth,3
2024-01-24,liverpool lime street-leeds,1
2024-01-24,liverpool lime street-london euston,9
2024-01-24,liverpool lime street-london paddington,1
2024-01-24,liverpool lime street-manchester piccadilly,26
2024-01-24,liverpool lime street-sheffield,1
2024-01-24,london euston-birmingham new street,43
2024-01-24,london euston-manchester piccadilly,6
2024-01-24,london euston-oxford,1
2024-01-24,london kings cross-edinburgh waverley,3
2024-01-24,london kings cross-liverpool lime street,1
2024-01-24,london kings cross-york,38
2024-01-24,london paddington-london waterloo,3
2024-01-24,london paddington-manchester piccadilly,2
2024-01-24,london paddington-oxford,5
2024-01-24,london paddington-reading,27
2024-01-24,london st pancras-birmingham new street,25
2024-01-24,london st pancras-leicester,2
2024-01-24,london st pancras-wolverhampton,2
2024-01-24,manchester piccadilly-leeds,1
2024-01-24,manchester piccadilly-liverpool lime street,42
2024-01-24,manchester piccadilly-london euston,2
2024-01-24,manchester piccadilly-london paddington,1
2024-01-24,manchester piccadilly-nottingham,4
2024-01-24,manchester piccadilly-sheffield,2
2024-01-24,reading-didcot,1
2024-01-24,york-doncaster,2
2024-01-24,york-durham,1
2024-01-24,york-edinburgh,1
2024-01-24,york-peterborough,2
2024-01-25,birmingham new street-liverpool lime street,2
2024-01-25,birmingham new street-london euston,1
2024-01-25,birmingham new street-london paddington,1
2024-01-25,birmingham new street-london st pancras,6
2024-01-25,birmingham new street-manchester piccadilly,1
2024-01-25,birmingham new street-nuneaton,1
2024-01-25,birmingham new street-reading,2
2024-01-25,birmingham new street-tamworth,1
2024-01-25,edinburgh waverley-london kings cross,1
2024-01-25,liverpool lime street-crewe,2
2024-01-25,liverpool lime street-leeds,1
2024-01-25,liverpool lime street-london euston,12
2024-01-25,liverpool lime street-london st pancras,1
2024-01-25,liverpool lime street-manchester piccadilly,25
2024-01-25,london euston-birmingham new street,39
2024-01-25,london euston-manchester piccadilly,8
2024-01-25,london kings cross-edinburgh waverley,2
2024-01-25,london kings cross-liverpool lime street,2
2024-01-25,london kings cross-york,46
2024-01-25,london paddington-london waterloo,1
2024-01-25,london paddington-manchester piccadilly,1
2024-01-25,london paddington-oxford,1
2024-01-25,london paddington-reading,26
2024-01-25,london st pancras-birmingham new street,30
2024-01-25,london st pancras-leicester,1
2024-01-25,london st pancras-wolverhampton,4
2024-01-25,manchester piccadilly-liverpool lime street,37
2024-01-25,manchester piccadilly-london euston,1
2024-01-25,manchester piccadilly-london paddington,3
2024-01-25,manchester piccadilly-sheffield,4
2024-01-25,manchester piccadilly-york,1
2024-01-25,reading-london paddington,2
2024-01-25,reading-oxford,1
2024-01-25,reading-swindon,2
2024-01-25,york-birmingham new street,1
2024-01-25,york-doncaster,2
2024-01-25,york-durham,3
2024-01-25,york-edinburgh,1
2024-01-25,york-peterborough,1
2024-01-25,york-wakefield,1
2024-01-26,birmingham new street-coventry,2
2024-01-26,birmingham new street-liverpool lime street,3
2024-01-26,birmingham new street-london st pancras,8
2024-01-26,birmingham new street-manchester piccadilly,2
2024-01-26,birmingham new street-nuneaton,1
2024-01-26,birmingham new street-tamworth,2
2024-01-26,birmingham new street-york,2
2024-01-26,bristol temple meads-cardiff central,1
2024-01-26,edinburgh waverley-london kings cross,2
2024-01-26,liverpool lime street-crewe,3
2024-01-26,liverpool lime street-leeds,3
2024-01-26,liverpool lime street-london euston,4
2024-01-26,liverpool lime street-manchester piccadilly,26
2024-01-26,liverpool lime street-sheffield,1
2024-01-26,london euston-birmingham new street,42
2024-01-26,london euston-manchester piccadilly,6
2024-01-26,london kings cross-edinburgh waverley,2
2024-01-26,london kings cross-liverpool lime street,2
2024-01-26,london kings cross-york,30
2024-01-26,london paddington-oxford,5
2024-01-26,london paddington-reading,32
2024-01-26,london st pancras-birmingham new street,30
2024-01-26,london st pancras-leicester,2
2024-01-26,manchester piccadilly-liverpool lime street,38
2024-01-26,manchester piccadilly-london euston,11
2024-01-26,manchester piccadilly-london kings cross,1
2024-01-26,manchester piccadilly-london paddington,1
2024-01-26,manchester piccadilly-nottingham,1
2024-01-26,manchester piccadilly-sheffield,1
2024-01-26,oxford-bristol temple meads,1
2024-01-26,reading-london paddington,1
2024-01-26,reading-oxford,4
2024-01-26,york-doncaster,3
2024-01-26,york-durham,2
2024-01-26,york-peterborough,3
2024-01-27,birmingham new street-coventry,1
2024-01-27,birmingham new street-london euston,2
2024-01-27,birmingham new street-london paddington,1
2024-01-27,birmingham new street-london st pancras,8
2024-01-27,birmingham new street-manchester piccadilly,2
2024-01-27,birmingham new street-nuneaton,3
2024-01-27,birmingham new street-stafford,3
2024-01-27,birmingham new street-tamworth,2
2024-01-27,liverpool lime street-birmingham new street,1
2024-01-27,liverpool lime street-crewe,1
2024-01-27,liverpool lime street-london euston,15
2024-01-27,liverpool lime street-manchester piccadilly,29
2024-01-27,liverpool lime street-sheffield,1
2024-01-27,london euston-birmingham new street,48
2024-01-27,london euston-manchester piccadilly,5
2024-01-27,london kings cross-edinburgh waverley,1
2024-01-27,london kings cross-liverpool lime street,1
2024-01-27,london kings cross-york,26
2024-01-27,london paddington-liverpool lime street,1
2024-01-27,london paddington-london waterloo,2
2024-01-27,london paddington-oxford,6
2024-01-27,london paddington-reading,28
2024-01-27,london st pancras-birmingham new street,28
2024-01-27,london st pancras-leicester,2
2024-01-27,manchester piccadilly-liverpool lime street,38
2024-01-27,manchester piccadilly-london euston,2
2024-01-27,manchester piccadilly-london paddington,1
2024-01-27,manchester piccadilly-london st pancras,1
2024-01-27,manchester piccadilly-sheffield,1
2024-01-27,oxford-bristol temple meads,2
2024-01-27,reading-didcot,1
2024-01-27,reading-london paddington,2
2024-01-27,reading-swindon,2
2024-01-27,york-doncaster,2
2024-01-27,york-durham,2
2024-01-27,york-edinburgh,2
2024-01-27,york-peterborough,3
2024-01-28,birmingham new street-coventry,2
2024-01-28,birmingham new street-liverpool lime street,2
2024-01-28,birmingham new street-london euston,1
2024-01-28,birmingham new street-london st pancras,6
2024-01-28,birmingham new street-manchester piccadilly,1
2024-01-28,birmingham new street-nuneaton,1
2024-01-28,birmingham new street-reading,1
2024-01-28,birmingham new street-stafford,3
2024-01-28,birmingham new street-tamworth,1
2024-01-28,birmingham new street-wolverhampton,1
2024-01-28,bristol temple meads-cardiff central,1
2024-01-28,edinburgh waverley-london kings cross,1
2024-01-28,liverpool lime street-crewe,2
2024-01-28,liverpool lime street-leeds,2
2024-01-28,liverpool lime street-london euston,13
2024-01-28,liverpool lime street-london st pancras,1
2024-01-28,liverpool lime street-manchester piccadilly,27
2024-01-28,liverpool lime street-sheffield,3
2024-01-28,london euston-birmingham new street,25
2024-01-28,london euston-manchester piccadilly,9
2024-01-28,london kings cross-edinburgh waverley,2
2024-01-28,london kings cross-liverpool lime street,1
2024-01-28,london kings cross-york,43
2024-01-28,london paddington-oxford,3
2024-01-28,london paddington-reading,37
2024-01-28,london st pancras-birmingham new street,27
2024-01-28,london st pancras-leicester,3
2024-01-28,london st pancras-wolverhampton,1
2024-01-28,manchester piccadilly-leeds,2
2024-01-28,manchester piccadilly-liverpool lime street,43
2024-01-28,manchester piccadilly-london euston,6
2024-01-28,manchester piccadilly-nottingham,1
2024-01-28,manchester piccadilly-sheffield,1
2024-01-28,oxford-bristol temple meads,2
2024-01-28,reading-didcot,1
2024-01-28,reading-swindon,2
2024-01-28,york-doncaster,3
2024-01-28,york-durham,1
2024-01-28,york-edinburgh,1
2024-01-28,york-peterborough,2
2024-01-29,birmingham new street-liverpool lime street,2
2024-01-29,birmingham new street-london st pancras,7
2024-01-29,birmingham new street-manchester piccadilly,1
2024-01-29,birmingham new street-nuneaton,3
2024-01-29,birmingham new street-reading,1
2024-01-29,birmingham new street-stafford,1
2024-01-29,birmingham new street-tamworth,1
2024-01-29,birmingham new street-york,2
2024-01-29,liverpool lime street-crewe,1
2024-01-29,liverpool lime street-leeds,2
2024-01-29,liverpool lime street-london euston,12
2024-01-29,liverpool lime street-london paddington,1
2024-01-29,liverpool lime street-london st pancras,2
2024-01-29,liverpool lime street-manchester piccadilly,21
2024-01-29,london euston-birmingham new street,32
2024-01-29,london euston-manchester piccadilly,11
2024-01-29,london kings cross-edinburgh waverley,2
2024-01-29,london kings cross-liverpool lime street,1
2024-01-29,london kings cross-york,30
2024-01-29,london paddington-manchester piccadilly,1
2024-01-29,london paddington-oxford,1
2024-01-29,london paddington-reading,24
2024-01-29,london st pancras-birmingham new street,35
2024-01-29,london st pancras-leicester,3
2024-01-29,manchester piccadilly-leeds,1
2024-01-29,manchester piccadilly-liverpool lime street,41
2024-01-29,manchester piccadilly-london paddington,1
2024-01-29,manchester piccadilly-nottingham,2
2024-01-29,manchester piccadilly-sheffield,2
2024-01-29,reading-london paddington,1
2024-01-29,reading-oxford,1
2024-01-29,reading-swindon,3
2024-01-29,york-doncaster,2
2024-01-29,york-durham,3
2024-01-29,york-liverpool lime street,1
2024-01-29,york-peterborough,1
2024-01-30,birmingham new street-coventry,1
2024-01-30,birmingham new street-liverpool lime street,1
2024-01-30,birmingham new street-london euston,5
2024-01-30,birmingham new street-london st pancras,4
2024-01-30,birmingham new street-nuneaton,1
2024-01-30,birmingham new street-tamworth,3
