Ticket Type,Ticket Class,Departure Station,Arrival Destination,Railcard,Lead Time
anytime,standard,london st pancras,birmingham new street,no railcard,0 days
anytime,first class,london paddington,reading,no railcard,0 days
advance,standard,london euston,birmingham new street,disabled,1 days
advance,first class,london euston,birmingham new street,adult,1 days
advance,first class,london kings cross,york,adult,1 days
advance,standard,london kings cross,york,no railcard,1 days
advance,standard,london paddington,reading,adult,1 days
advance,standard,london kings cross,york,no railcard,1 days
advance,standard,london kings cross,liverpool lime street,no railcard,1 days
advance,first class,liverpool lime street,leeds,adult,1 days
advance,first class,liverpool lime street,sheffield,adult,1 days
advance,standard,london euston,birmingham new street,no railcard,1 days
advance,standard,liverpool lime street,london euston,adult,1 days
anytime,standard,london st pancras,leicester,senior,0 days
anytime,standard,london st pancras,leicester,senior,0 days
advance,standard,liverpool lime street,london euston,adult,1 days
off-peak,standard,london paddington,reading,no railcard,0 days
off-peak,standard,london paddington,reading,no railcard,0 days
off-peak,standard,london kings cross,york,no railcard,0 days
advance,standard,london kings cross,york,no railcard,1 days
off-peak,standard,london kings cross,liverpool lime street,adult,0 days
off-peak,standard,manchester piccadilly,liverpool lime street,no railcard,0 days
off-peak,first class,birmingham new street,edinburgh,no railcard,0 days
off-peak,standard,manchester piccadilly,liverpool lime street,no railcard,0 days
off-peak,standard,london paddington,reading,adult,0 days
advance,first class,liverpool lime street,manchester piccadilly,senior,1 days
advance,standard,liverpool lime street,manchester piccadilly,no railcard,1 days
advance,first class,london st pancras,birmingham new street,no railcard,1 days
advance,standard,london st pancras,leicester,senior,1 days
advance,standard,london st pancras,birmingham new street,disabled,1 days
advance,standard,manchester piccadilly,liverpool lime street,senior,1 days
advance,standard,manchester piccadilly,liverpool lime street,no railcard,1 days
advance,standard,london euston,birmingham new street,adult,1 days
off-peak,standard,london euston,birmingham new street,no railcard,0 days
advance,standard,manchester piccadilly,liverpool lime street,no railcard,1 days
advance,standard,manchester piccadilly,liverpool lime street,no railcard,1 days
advance,standard,london st pancras,birmingham new street,no railcard,1 days
advance,first class,london kings cross,york,disabled,1 days
off-peak,standard,london euston,birmingham new street,no railcard,0 days
advance,standard,liverpool lime street,manchester piccadilly,adult,1 days
off-peak,standard,london paddington,reading,no railcard,0 days
off-peak,standard,london paddington,reading,no railcard,0 days
off-peak,standard,liverpool lime street,manchester piccadilly,adult,0 days
off-peak,standard,liverpool lime street,manchester piccadilly,adult,0 days
advance,standard,york,peterborough,no railcard,1 days
advance,first class,london paddington,reading,senior,1 days
advance,standard,london st pancras,birmingham new street,no railcard,1 days
advance,standard,london st pancras,birmingham new street,no railcard,1 days
advance,standard,birmingham new street,nuneaton,no railcard,1 days
advance,standard,london st pancras,birmingham new street,no railcard,1 days
advance,standard,manchester piccadilly,liverpool lime street,no railcard,1 days
advance,standard,london kings cross,york,no railcard,1 days
advance,standard,london st pancras,birmingham new street,adult,1 days
advance,standard,london euston,manchester piccadilly,no railcard,1 days
advance,standard,birmingham new street,stafford,no railcard,1 days
off-peak,standard,london paddington,reading,no railcard,0 days
advance,standard,london st pancras,birmingham new street,no railcard,1 days
advance,standard,london paddington,reading,no railcard,1 days
advance,standard,london paddington,reading,adult,1 days
advance,standard,london paddington,reading,adult,1 days
advance,standard,liverpool lime street,manchester piccadilly,no railcard,1 days
advance,standard,liverpool lime street,manchester piccadilly,adult,1 days
advance,standard,london paddington,reading,no railcard,1 days
advance,standard,manchester piccadilly,liverpool lime street,adult,1 days
advance,standard,manchester piccadilly,liverpool lime street,adult,1 days
advance,standard,manchester piccadilly,london euston,no railcard,1 days
advance,standard,manchester piccadilly,london euston,no railcard,1 days
advance,standard,manchester piccadilly,liverpool lime street,adult,1 days
advance,first class,liverpool lime street,manchester piccadilly,disabled,1 days
advance,standard,london kings cross,york,no railcard,1 days
advance,standard,london paddington,reading,disabled,1 days
advance,standard,manchester piccadilly,london euston,adult,1 days
off-peak,first class,manchester piccadilly,liverpool lime street,no railcard,0 days
off-peak,standard,liverpool lime street,manchester piccadilly,disabled,0 days
off-peak,standard,york,edinburgh,adult,0 days
off-peak,standard,manchester piccadilly,london paddington,no railcard,0 days
off-peak,standard,liverpool lime street,leeds,no railcard,0 days
off-peak,standard,manchester piccadilly,london paddington,no railcard,0 days
off-peak,standard,london paddington,reading,no railcard,0 days
advance,standard,liverpool lime street,manchester piccadilly,no railcard,1 days
off-peak,standard,london euston,birmingham new street,no railcard,0 days
off-peak,standard,liverpool lime street,london euston,no railcard,0 days
off-peak,standard,london st pancras,birmingham new street,no railcard,0 days
advance,standard,london kings cross,york,no railcard,1 days
off-peak,standard,london paddington,reading,adult,0 days
off-peak,standard,birmingham new street,london euston,no railcard,0 days
off-peak,standard,london paddington,reading,no railcard,0 days
advance,first class,liverpool lime street,manchester piccadilly,no railcard,1 days
advance,standard,london kings cross,york,no railcard,1 days
off-peak,standard,london kings cross,york,no railcard,0 days
off-peak,standard,manchester piccadilly,sheffield,no railcard,0 days
off-peak,standard,london euston,birmingham new street,no railcard,0 days
off-peak,standard,london euston,birmingham new street,no railcard,0 days
off-peak,standard,london kings cross,york,adult,0 days
off-peak,standard,london euston,birmingham new street,adult,0 days
off-peak,standard,liverpool lime street,manchester piccadilly,disabled,0 days
off-peak,standard,london paddington,reading,no railcard,0 days
off-peak,first class,london st pancras,birmingham new street,no railcard,0 days
advance,standard,manchester piccadilly,london paddington,no railcard,1 days
advance,standard,london kings cross,york,no railcard,1 days
off-peak,standard,manchester piccadilly,liverpool lime street,no railcard,0 days
off-peak,standard,liverpool lime street,london euston,adult,0 days
off-peak,standard,london kings cross,york,no railcard,0 days
off-peak,standard,liverpool lime street,manchester piccadilly,no railcard,0 days
advance,standard,liverpool lime street,manchester piccadilly,no railcard,1 days
advance,first class,liverpool lime street,manchester piccadilly,no railcard,1 days
off-peak,standard,london kings cross,liverpool lime street,adult,0 days
off-peak,standard,london st pancras,birmingham new street,no railcard,0 days
off-peak,standard,liverpool lime street,manchester piccadilly,adult,0 days
advance,first class,london kings cross,york,no railcard,1 days
anytime,standard,london paddington,reading,senior,0 days
anytime,standard,london paddington,reading,senior,0 days
anytime,standard,birmingham new street,london paddington,senior,0 days
anytime,standard,birmingham new street,london st pancras,disabled,0 days
anytime,standard,york,doncaster,disabled,0 days
anytime,standard,birmingham new street,london st pancras,disabled,0 days
advance,first class,london kings cross,york,adult,1 days
advance,first class,liverpool lime street,manchester piccadilly,no railcard,1 days
anytime,standard,london kings cross,york,no railcard,0 days
advance,standard,london euston,birmingham new street,no railcard,1 days
anytime,standard,london st pancras,birmingham new street,no railcard,0 days
advance,standard,london kings cross,york,no railcard,1 days
anytime,standard,liverpool lime street,manchester piccadilly,no railcard,0 days
anytime,standard,liverpool lime street,manchester piccadilly,no railcard,0 days
anytime,standard,london st pancras,birmingham new street,no railcard,0 days
advance,standard,manchester piccadilly,liverpool lime street,no railcard,1 days
advance,standard,london euston,birmingham new street,adult,1 days
advance,standard,london paddington,reading,no railcard,1 days
advance,standard,london euston,birmingham new street,adult,1 days
anytime,standard,manchester piccadilly,liverpool lime street,adult,0 days
anytime,standard,london paddington,reading,senior,0 days
anytime,standard,london paddington,london waterloo,no railcard,0 days
anytime,standard,liverpool lime street,crewe,senior,0 days
anytime,standard,york,peterborough,no railcard,0 days
advance,standard,london st pancras,birmingham new street,no railcard,1 days
anytime,standard,reading,swindon,no railcard,0 days
anytime,standard,london st pancras,birmingham new street,disabled,0 days
anytime,standard,manchester piccadilly,liverpool lime street,no railcard,0 days
anytime,standard,london euston,manchester piccadilly,no railcard,0 days
anytime,first class,manchester piccadilly,london euston,no railcard,0 days
